Timestamp,"You are meeting a stranger in Chicago. You both know that you need to meet each other today, but you haven't agreed on a place or a time and you have no means of communication. WHERE do you go to meet them?","You are meeting a stranger in Chicago. You both know that you need to meet each other today, but you haven't agreed on a place or a time and you have no means of communication. WHAT TIME do you go to meet them?","You are meeting another UChicago student who you have not met before. You both know that you are both UChicago students and that you should meet today somewhere in the city of Chicago, but you haven't agreed on a meeting location and you have no means of communication. Where do you go to meet them?","You are meeting your closest friend from UChicago. You both know you should meet somewhere in the city of Chicago, but you haven't agreed on a meeting location and you have no means of communication. Where do you go to meet them?","You and an anonymous partner need to choose heads or tails. If you both choose the SAME answer, you both win. Which do you choose?","You and an anonymous partner need to choose heads or tails. If you both choose DIFFERENT answers, you both win. Which do you choose?","You and an anonymous partner each give a number between 0 and 10. If you choose the same number, you both win. What number do you choose?","You and an anonymous partner each choose a number from the list below. If you choose the same number, you both win. Which number do you choose?","You and an anonymous partner each give a number. If you say the same number, you both win. The bigger the number, the more you win. What number do you choose? (your answer should contain only numerical characters; no letters, punctuation, or symbols)",Which best describes you?,OPTIONAL: Which of the following describe you? Select all that apply.,"OPTIONAL: What language do you feel most comfortable/proficient speaking? (If you consider yourself equally proficient in more than one language, list all.)",STRANGER_ERROR,STUDENT_ERROR,FRIEND_ERROR
2020-05-04T08:49:59Z,The bean,1899-12-30T12:00:00Z,,my apartment,Heads,Tails,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T09:40:59Z,Reg first floor,1899-12-30T14:00:00Z,,Reg,Heads,Heads,7,13,8,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T09:54:00Z,The Bean,1899-12-30T12:00:00Z,,Our Apartment,Heads,Tails,0,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T09:54:27Z,NA,1899-12-30T12:00:00Z,,NA,Heads,Tails,5,100,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2020-05-04T10:04:19Z,Reynolds Club,1899-12-30T12:00:00Z,,Pret,Tails,Heads,3,261,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T10:12:21Z,At Milenium Park near the bean.,1899-12-30T17:00:00Z,,Outside of Max East.,Tails,Tails,5,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T11:21:08Z,Their house,1899-12-30T14:00:00Z,,Their room,Heads,Heads,5,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T11:27:25Z,The reg,1899-12-30T14:00:00Z,,Ratner Athletics Center,Tails,Heads,7,7,500,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T13:08:09Z,Sears tower,1899-12-30T13:00:00Z,,The Reg,Heads,Heads,7,7,7,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-04T19:47:53Z,I would meet them at the quad,1899-12-30T13:00:00Z,,Rockerfeller lounge,Heads,Heads,4,261,10000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2020-05-05T07:48:30Z,at their home,1899-12-30T10:00:00Z,,their home,Heads,Tails,5,7,100,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2023-02-01T15:54:20Z,the quad!,1899-12-30T10:00:00Z,,their dorm?,Heads,Heads,7,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-01T15:54:26Z,Millennium Park,1899-12-30T12:00:00Z,,KGB,Heads,Tails,6,100,666,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-01T15:54:56Z,Bean,1899-12-30T10:00:00Z,,Lab,Heads,Tails,9,99,999,UChicago PhD student,NA,NA,NA,NA,NA
2023-02-01T15:55:45Z,Art Institute,1899-12-30T12:00:00Z,,Logan Square monument,Heads,Heads,0,100,100,UChicago PhD student,NA,NA,NA,NA,NA
2023-02-01T15:55:53Z,Bean,1899-12-30T12:00:00Z,,Kgb first floor,Heads,Tails,10,555,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-01T15:56:14Z,At the bean,1899-12-30T12:00:00Z,,Prêt à manger,Heads,Tails,4,555,478,UChicago PhD student,NA,NA,NA,NA,NA
2023-02-01T15:56:23Z,the airport,NA,,their room,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,TRUE,NA
2023-02-01T15:56:37Z,at their home,1899-12-30T10:00:00Z,,at apartment,Heads,Heads,1,7,999,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2023-02-01T15:56:56Z,Bean,1899-12-30T12:00:00Z,,KGB,Heads,Heads,5,100,100000,UChicago faculty/staff,NA,NA,NA,NA,NA
2023-02-01T15:57:01Z,Millennium park,1899-12-30T12:00:00Z,,KGB,Heads,Tails,5,100,100,UChicago PhD student,NA,NA,NA,NA,NA
2023-02-01T15:57:03Z,The Bean!,1899-12-30T10:00:00Z,,My office,Heads,Tails,7,100,1000000,UChicago PhD student,NA,NA,NA,NA,NA
2023-02-02T11:06:58Z,I would meet them in an area with the most foot traffic (out of all locations in Chicago),1899-12-30T12:00:00Z,,I would meet them at their dorm (they will eventually show up there),Heads,Heads,5,7,100,UChicago faculty/staff,NA,NA,TRUE,TRUE,NA
2023-02-02T11:09:19Z,The Chicago Bean,1899-12-30T12:00:00Z,,The Reg,Heads,Tails,5,100,1e20,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-02T11:09:25Z,The Bean,1899-12-30T12:00:00Z,,Fraternity house,Tails,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-02T11:09:30Z,On campus.,1899-12-30T12:00:00Z,,In his room.,Heads,Heads,10,100,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-02T11:09:43Z,A very common place or a major center within the city that everyone knows about.,1899-12-30T10:00:00Z,,At the CI and I (thats where we always end up),Tails,Tails,4,7,1000,UChicago undergraduate student,NA,NA,TRUE,NA,NA
2023-02-02T11:09:49Z,The Bean,1899-12-30T12:00:00Z,,Their room,Heads,Heads,3,100,999,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-02T11:09:49Z,millenium park,1899-12-30T17:00:00Z,,their residential building,Heads,Heads,0,7,999,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-02T11:09:51Z,The bean,1899-12-30T14:00:00Z,,Bartlett,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-02T11:10:05Z,the chicago bean?,1899-12-30T12:00:00Z,,my room,Heads,Tails,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-02T11:10:29Z,Meet at the Bean,1899-12-30T13:00:00Z,,Woodlawn lounge,Heads,Tails,7,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-02T11:10:52Z,"Millenium Park, the Bean",1899-12-30T11:00:00Z,,pret,Heads,Heads,7,13,10000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-02T11:11:12Z,Bean,1899-12-30T02:30:00Z,,Pret,Heads,Heads,7,100,10000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-02T11:14:23Z,I would go to the nearest coffee spot to my home,1899-12-30T12:01:00Z,,Woodlawn dining hall,Tails,Heads,1,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-02T16:29:17Z,Nutella cafe/I wouldn’t go meet them,1899-12-30T12:30:00Z,,My dorm house,Heads,Heads,5,555,10000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-02T19:04:30Z,"I would probably go to Millenium Park because it is a big public setting. For one, it is a popular spot and it is also a huge public area so if anything bad we’re to happen people would see.",1899-12-30T15:00:00Z,,Either the crown weight room or bartlett/baker dining halls,Tails,Tails,3,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-02T20:56:34Z,The Bean.,1899-12-30T12:00:00Z,,My room,Heads,Tails,5,100,1000000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-04T11:35:45Z,THE MOON!,NA,,NA,NA,NA,2,NA,NA,UChicago undergraduate student,NA,NA,TRUE,TRUE,NA
2023-02-05T13:55:52Z,Grant Park,1899-12-30T12:00:00Z,,The Reg,Tails,Tails,5,555,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:01:22Z,It is literally impossible,1899-12-30T12:00:00Z,,Their room,Heads,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:01:33Z,millenium park,1899-12-30T11:00:00Z,,the reg,Heads,Heads,6,100,12000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:02:31Z,The quad,1899-12-30T12:00:00Z,,Baker,Heads,Tails,10,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:02:41Z,The Bean,1899-12-30T01:00:00Z,,Pret,Heads,Heads,5,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:02:47Z,The bean,1899-12-30T12:00:00Z,,iHouse,Heads,Heads,8,13,9999,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:03:10Z,The Bean,1899-12-30T12:00:00Z,,House lounge,Heads,Heads,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:03:12Z,Chicago,1899-12-30T11:00:00Z,,Cathey,Heads,Tails,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:03:53Z,The bean,1899-12-30T11:00:00Z,,Baker dining hall,Heads,Tails,7,7,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:03:53Z,The bean,1899-12-30T12:00:00Z,,Bartlett or max p,Tails,Tails,7,100,1000000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:03:55Z,The Bean,1899-12-30T12:00:00Z,,Woodlawn,Heads,Heads,7,7,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:03:57Z,The Bean,1899-12-30T19:00:00Z,,My Dorm Room,Heads,Heads,7,7,5000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:05:28Z,Probably a cafe.,1899-12-30T18:00:00Z,,Dining hall,Heads,Tails,7,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:06:41Z,NA,NA,,NA,Heads,Heads,5,13,NA,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:06:49Z,Somewhere on Campus,1899-12-30T02:00:00Z,,our house lounge,Heads,Heads,7,7,10,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:07:27Z,Buckingham Fountain,1899-12-30T12:00:00Z,,Regenstein,Heads,Heads,7,7,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:07:29Z,Sears Tower,1899-12-30T12:00:00Z,,Beecher,Heads,Heads,7,13,1000,UChicago faculty/staff,NA,NA,NA,NA,NA
2023-02-07T11:07:40Z,the bean,1899-12-30T12:00:00Z,,my room,Heads,Heads,7,7,7,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:07:54Z,The bean,1899-12-30T15:00:00Z,,The reg 4th floor,Heads,Heads,7,7,7777777,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:07:55Z,Millenium park,1899-12-30T12:00:00Z,,the reg,Heads,Tails,5,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:08:06Z,The Bean,1899-12-30T11:00:00Z,,Pret,Heads,Heads,7,555,1000000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:08:07Z,The Bean,1899-12-30T12:00:00Z,,Our regular spot,Heads,Heads,7,555,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:08:28Z,I would go to Depaul University's Barnes and Nobles,1899-12-30T10:00:00Z,,The reg,Heads,Tails,6,555,45,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:08:40Z,The bean,1899-12-30T18:00:00Z,,South dorm,Tails,Tails,5,555,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:08:52Z,Willis Tower,1899-12-30T12:00:00Z,,Hillel House,Heads,Tails,5,7,999999999,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:08:59Z,I would go to the bean,1899-12-30T12:00:00Z,,I go to their house,Heads,Heads,7,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:09:01Z,the bean,1899-12-30T12:00:00Z,,their dorm,Heads,Heads,0,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:09:01Z,community center,1899-12-30T13:00:00Z,,their room,Tails,Tails,5,555,10000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:09:08Z,Very center of Chicago,1899-12-30T12:00:00Z,,Regenstein Lobby,Heads,Heads,10,100,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:09:53Z,the bean,1899-12-30T12:00:00Z,,the regenstein library,Heads,Tails,7,7,150,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:10:03Z,millennium park,1899-12-30T12:00:00Z,,Cathey,Tails,Tails,5,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:10:48Z,Roosavelt Station,1899-12-30T14:00:00Z,,Their dorm room,Heads,Heads,5,261,10000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:11:02Z,Planetarium,1899-12-30T15:00:00Z,,Gates,Heads,Heads,7,7,7,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:11:07Z,River walk bridge,1899-12-30T02:00:00Z,,Cathey lounge,Heads,Heads,7,261,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T11:11:07Z,the Bean,1899-12-30T12:00:00Z,,quad,Tails,Tails,5,100,999,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T17:39:46Z,I will go meet them at the Bean.,1899-12-30T12:00:00Z,,I will meet her at Bartlett,Heads,Tails,7,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T20:00:57Z,the bean,1899-12-30T12:00:00Z,,their dorm,Heads,Heads,7,7,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-07T22:04:19Z,The Bean,1899-12-30T12:00:00Z,,Crerar,Tails,Tails,7,7,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-08T01:36:02Z,"Park (or office, depends on context)",1899-12-30T12:00:00Z,,Reg,Heads,Heads,5,100,1000000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-08T14:17:48Z,Main quad,1899-12-30T12:00:00Z,,at Woodlawn dormitory,Heads,Tails,5,100,1000,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-08T18:16:35Z,Downtown near the tallest building in Chicago.,1899-12-30T14:00:00Z,,Their room (we live in the same hall),Heads,Heads,7,13,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-02-09T02:14:43Z,The Bean!,1899-12-30T12:00:00Z,,The lobby of Woodlawn,Heads,Heads,7,13,100,UChicago undergraduate student,NA,NA,NA,NA,NA
2023-11-03T09:26:35Z,The bean,1899-12-30T09:00:00Z,,1155,Heads,Heads,7,7,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year)",English,NA,NA,NA
2023-11-03T09:29:07Z,Outside,1899-12-30T08:00:00Z,,Their house,Heads,Heads,4,100,9000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","New to the University of Chicago (<1 year), New to Chicago (<1 year)",NA,NA,NA,NA
2023-11-03T09:51:18Z,the bean,1899-12-30T12:00:00Z,,my apartment,Heads,Heads,5,13,555,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year)",NA,NA,NA,NA
2023-11-03T09:53:49Z,Cloud gate,1899-12-30T09:00:00Z,,Rockefeller memorial chapel,Heads,Tails,10,7,10000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Chinese,NA,NA,NA
2023-11-03T10:00:43Z,Downtown Art institute of Chicago,1899-12-30T13:00:00Z,,Joseph Regenstein Library,Heads,Heads,5,555,999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2023-11-03T10:19:40Z,In a coffee shop or a quiet (brunch) restaurant.,1899-12-30T11:00:00Z,,"In their apartment or in my apartment. Or any where we want, like coffee shop or restaurant.",Heads,Heads,5,100,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Mandarin and English,NA,NA,NA
2023-11-03T10:25:55Z,coffee shop,1899-12-30T02:00:00Z,,cafe,Heads,Heads,7,7,7,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Man, New to the University of Chicago (<1 year), New to Chicago (<1 year), New to the US (<1 year), Raised outside the US","mandarin, english, teochew",NA,NA,NA
2023-11-03T10:38:03Z,Library,1899-12-30T14:00:00Z,,1155,Heads,Tails,3,99,99,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2023-11-03T11:18:27Z,South Loop,1899-12-30T08:00:00Z,,The place we always study together,Heads,Heads,7,99,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), New to the US (<1 year), Raised outside the US",Mandarin,NA,NA,NA
2023-11-03T11:50:43Z,Willis Tower,1899-12-30T12:00:00Z,,common spot,Heads,Heads,5,100,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,English,NA,NA,NA
2023-11-03T12:45:29Z,art institute entrance,1899-12-30T12:00:00Z,,our apartment,Heads,Heads,6,100,1000000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",NA,NA,NA,NA,NA
2023-11-03T13:25:27Z,Cloud Gate (the giant mirrored bean),1899-12-30T10:00:00Z,,classroom building,Heads,Tails,5,99,100000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US","Mandarin, English",NA,NA,NA
2023-11-03T16:51:18Z,The bean,1899-12-30T11:00:00Z,,Harper cafe,Heads,Tails,4,261,999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US","English, Hindi, Gujarati",NA,NA,NA
2023-11-04T12:13:47Z,Art institute,1899-12-30T10:00:00Z,,1155 building,Heads,Heads,5,7,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US",Chinese,NA,NA,NA
2023-11-04T20:30:15Z,Millennium Park,1899-12-30T10:00:00Z,,Plain Air Cafe,Heads,Heads,7,100,9999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Chinese; English,NA,NA,NA
2023-11-05T22:48:37Z,Bean,1899-12-30T12:00:00Z,,Front door,Tails,Tails,8,7,8,Other UChicago student,Woman,English,NA,NA,NA
2023-11-06T16:20:43Z,To a place we talked about the most before agreeing to meet,1899-12-30T10:00:00Z,,Our normal meeting place,Heads,Heads,7,7,5555,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year)",NA,NA,NA,NA
2023-11-07T10:35:34Z,The bean (if it wasn’t still under construction),1899-12-30T12:00:00Z,,My apartment,Heads,Tails,7,7,1000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year)",English,NA,NA,NA
2024-01-09T14:16:03Z,The bean,1899-12-30T12:00:00Z,,Kelly Beecher Green,Heads,Heads,6,100,100000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Man,"Chinese, English",NA,NA,NA
2024-11-01T13:24:08Z,Near the riverwalk,1899-12-30T14:00:00Z,,any coffee shop on campus,Heads,Heads,5,100,1000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US",Chinese/English,NA,NA,NA
2024-11-01T14:28:09Z,Insomnia Cookies,1899-12-30T14:00:00Z,,Insomnia Cookies,Heads,Tails,5,555,999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2024-11-01T14:32:46Z,University of Chicago,1899-12-30T10:00:00Z,,Starbucks,Heads,Tails,7,555,999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year)","English, Korean",NA,NA,NA
2024-11-01T14:39:37Z,A coffee shop,1899-12-30T10:30:00Z,,MAPSS student lounge,Heads,Tails,10,100,100000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2024-11-01T14:44:31Z,The Bean,1899-12-30T22:00:00Z,,Harper Library,Heads,Heads,7,7,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Man, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US","English, French",NA,NA,NA
2024-11-01T14:54:39Z,Trump Tower,1899-12-30T08:30:00Z,,Regenstein Library,Heads,Tails,5,99,99,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Mandarin,NA,NA,NA
2024-11-01T14:58:29Z,The Bean,1899-12-30T12:00:00Z,,"where he proposed to me, overlooking Robie House",Heads,Tails,7,7,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year)",English,NA,NA,NA
2024-11-01T15:00:14Z,Bean,1899-12-30T12:00:00Z,,social work,Heads,Tails,7,7,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year)",Spanish and English,NA,NA,NA
2024-11-01T15:21:19Z,Cafeteria,1899-12-30T10:00:00Z,,Her apartment,Heads,Heads,0,99,1000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), Raised outside the US",NA,NA,NA,NA
2024-11-01T15:32:40Z,Navy Pier,1899-12-30T09:00:00Z,,UChicago Bookstore,Heads,Heads,0,7,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2024-11-01T16:21:48Z,Cloudgate,1899-12-30T15:30:00Z,,The University Bookstore,Heads,Heads,5,555,999999999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,English,NA,NA,NA
2024-11-01T17:34:50Z,Millennium Park,1899-12-30T12:00:00Z,,Our lab,Heads,Heads,8,100,10000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Mandarin,NA,NA,NA
2024-11-01T17:35:06Z,Chicago subway station,1899-12-30T12:00:00Z,,Grounds of Being,Heads,Heads,5,555,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), New to the US (<1 year), Raised outside the US",Mandarin,NA,NA,NA
2024-11-01T17:45:19Z,millennium park,1899-12-30T11:30:00Z,,library,Heads,Heads,5,100,999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2024-11-01T18:12:36Z,the bean,1899-12-30T12:00:00Z,,main quad,Heads,Heads,7,555,1500,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year)",English,NA,NA,NA
2024-11-01T19:00:19Z,The Mansueto Library,1899-12-30T09:30:00Z,,"The Graduate Lounge in 1155 Building, 2nd floor",Heads,Heads,7,555,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), New to the US (<1 year), Raised outside the US",Mandarin,NA,NA,NA
2024-11-01T20:33:32Z,Millennium Park,1899-12-30T11:00:00Z,,Reg Library,Heads,Heads,5,100,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2024-11-01T21:31:52Z,La Serre,1899-12-30T18:00:00Z,,Starbucks,Tails,Heads,6,13,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), New to the US (<1 year), Raised outside the US",Chinese,NA,NA,NA
2024-11-02T00:45:34Z,In front of Reg,1899-12-30T10:00:00Z,,"Still, in front of Reg",Heads,Heads,5,100,100000000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Man, New to Chicago (<1 year)","Mandarin, Japanese, English",NA,NA,NA
2024-11-02T10:08:45Z,their house,1899-12-30T12:00:00Z,,her house,Heads,Heads,7,100,1000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US",NA,NA,NA,NA
2024-11-02T10:21:50Z,The Bean,1899-12-30T13:00:00Z,,The pub,Heads,Heads,5,261,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Man, New to the University of Chicago (<1 year), New to Chicago (<1 year)",English,NA,NA,NA
2024-11-02T10:32:28Z,Restaurant,1899-12-30T05:19:59Z,,Library,Heads,Tails,5,100,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), New to the US (<1 year)",Mandarin,NA,NA,NA
2024-11-02T11:15:34Z,I am not planning going out since I don't now where and when to go.,NA,,campus,Heads,Heads,0,261,0,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US",mandarin Chinese,TRUE,TRUE,TRUE
2024-11-02T17:37:46Z,The Bean,1899-12-30T12:00:00Z,,Hallowed Grounds,Heads,Tails,10,100,1000000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Man,"Spanish, French, English",NA,NA,NA
2024-11-03T12:38:14Z,The bean,1899-12-30T12:00:00Z,,Psych dept,Heads,Heads,10,100,1000000000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Man,English,NA,NA,NA
2024-11-03T13:31:35Z,center of the Chicago,1899-12-30T12:00:00Z,,the Uchicago Quad,Heads,Heads,0,261,0,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,Chinese,NA,NA,NA
2024-11-03T14:42:28Z,millennium park,1899-12-30T09:30:00Z,,regenstein library,Heads,Tails,10,100,1000,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year)",Chinese and English,NA,NA,NA
2024-11-03T15:02:36Z,Cafe near me,1899-12-30T11:30:00Z,,After class,Heads,Heads,7,13,988,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year)",NA,NA,NA,NA
2024-11-03T17:20:28Z,The Bean,1899-12-30T12:00:00Z,,Go to their house,Heads,Heads,5,261,100,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)",Woman,NA,NA,NA,NA
2024-11-03T23:27:32Z,The Millennium Park,1899-12-30T13:00:00Z,,Plein air cafe,Heads,Heads,10,99,9999,"UChicago MA student (e.g., MAPSS, MACSS, Harris/Crown MA)","Woman, New to the University of Chicago (<1 year), New to Chicago (<1 year), Raised outside the US",Mandarin,NA,NA,NA
